,id,musical type,int,tint,ema,mei,pdf
0,1,Fuga,4-,B2,"1-6/1,1,1-2,1-2,2,2/@1,@1-3,@1-3+@1,@1-3+@1-3,@1-3,@1",https://crimproject.org/mei/CRIM_Model_0011.mei,https://crimproject.org/pdf/CRIM_Model_0011.pdf
1,2,Fuga,4-,B2,"1-6/1,1,1+3,1+3,3,3/@1-4,@1-3,@1-3+@1-4,@1-3+@1-3,@1-3,@1",https://crimproject.org/mei/CRIM_Mass_0009_3.mei,https://crimproject.org/pdf/CRIM_Mass_0009_3.pdf
2,3,Fuga,8-,B2,"5-9/1,1,1-2,2,2/@3,@1-4,@1-2+@4,@1-4,@1-2",https://crimproject.org/mei/CRIM_Model_0011.mei,https://crimproject.org/pdf/CRIM_Model_0011.pdf
3,4,Fuga,5-,B1,"5-8/1,1+4,1+4,4/@3,@1-4+@4,@1+@1-3,@1",https://crimproject.org/mei/CRIM_Mass_0009_3.mei,https://crimproject.org/pdf/CRIM_Mass_0009_3.pdf
4,5,Fuga,8-,B2,"5-9,14-18/1,1,1-2,1-2,1-2,3,3,3-4,3-4,3-4/@3,@1-4,@1-4+@4,@1-4+@1-4,@1-3+@1-2,@3,@1-4,@1-4+@4,@1-4+@1-4,@1-3+@1-2",https://crimproject.org/mei/CRIM_Model_0011.mei,https://crimproject.org/pdf/CRIM_Model_0011.pdf
5,6,Periodic entry,,,"9-12/3-4,2-4,2,2/@4+@1-4,@4+@1-4+@1-3,@1-3,@1",https://crimproject.org/mei/CRIM_Mass_0009_5.mei,https://crimproject.org/pdf/CRIM_Mass_0009_5.pdf
6,7,Fuga,8-,M9,"5-9/1,1,1-2,2,2/@3,@1-4,@1-2+@4,@1-4,@1-2",https://crimproject.org/mei/CRIM_Model_0011.mei,https://crimproject.org/pdf/CRIM_Model_0011.pdf
7,8,Fuga,5-,M5,"5-10/1,1+4,1+4,1+4,1+4,4/@3,@1-4+@4,@1-4.5+@1-3,@1-4.5+@1-4,@1+@1-3,@1",https://crimproject.org/mei/CRIM_Mass_0009_3.mei,https://crimproject.org/pdf/CRIM_Mass_0009_3.pdf
8,9,Soggetto,,,"1-38/6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6/@1,@1,@1,@1-3,@1,@1,@all,@1-4,@1-3,@1-4,@1,@1-4,@1-3,@1-4,@1-3,@1,@1,@1,@1-3,@1,@1,@all,@1-4,@1-3,@1-4.5,@1,@1-4,@1-3,@1-4,@1-3,@1,@1,@1,@1-3,@1,@1,@1,@1",https://crimproject.org/mei/CRIM_Model_0018_a4_cantiB.mei,https://crimproject.org/pdf/CRIM_Model_0018.pdf
9,10,Cantus firmus,,,"1-41/5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5/@1,@1,@1,@1-3,@1,@1,@all,@1-4,@1-3,@1-4.5,@1,@1-4,@1-3,@1-4.5,@1-3,@all,@all,@1-3,@1,@1,@1-3,@1,@1,@all,@1-4,@1-3,@1-4.5,@1,@1-4,@1-3,@1-4.5,@1-3,@all,@all,@1,@1,@1,@1-3,@1,@1,@1",https://crimproject.org/mei/CRIM_Mass_0017_4.mei,https://crimproject.org/pdf/CRIM_Mass_0017_4.pdf
