,piece_title,pattern_matched,predicted_type,part,part,part,part,part,start,start,start,start,start
entry_number,,,,1,2,3,4,5,1,2,3,4,5
0,None,"(1, 1, -2, -2, -2)",Fuga,S,B,T,S,-,10/3.0,12/1.0,15/1.0,15/2.0,-
1,None,"(1, -2, -2, -2, 2)",Fuga,S,S,-,-,-,11/1.0,15/3.0,-,-,-
2,None,"(1, -2, -2, -2, -2)",Fuga,B,T,-,-,-,12/3.0,15/3.0,-,-,-
3,None,"(-2, -2, -2, -2, 4)",Fuga,B,T,-,-,-,12/4.0,15/4.0,-,-,-
4,None,"(-2, -2, -2, 4, -3)",Fuga,B,T,-,-,-,13/1.0,16/1.0,-,-,-
5,None,"(-2, -2, 2, 1, -2)",Fuga,S,S,-,-,-,13/4.0,16/1.0,-,-,-
6,None,"(-2, 2, 1, -2, 1)",Fuga,S,A,-,-,-,14/1.0,14/3.0,-,-,-
7,None,"(2, 1, -2, 1, 1)",Fuga,S,A,-,-,-,14/2.0,14/4.0,-,-,-
8,None,"(1, 1, 1, -2, 1)",Fuga,A,A,-,-,-,18/3.0,23/1.0,-,-,-
9,None,"(1, 1, -2, 1, 2)",Fuga,A,A,B,S,A,19/3.0,23/2.0,24/4.0,26/2.0,26/4.0
10,None,"(1, -2, 1, 2, 3)",Fuga,A,T,-,-,-,23/3.5,28/1.5,-,-,-
11,None,"(-2, 1, 2, 3, -2)",Fuga,A,T,-,-,-,23/4.0,28/2.0,-,-,-
12,None,"(1, 2, 3, -2, -2)",Fuga,A,T,-,-,-,24/1.0,28/3.0,-,-,-
13,None,"(-2, 4, -2, -2, -2)",Fuga,B,S,-,-,-,27/1.0,31/3.0,-,-,-
14,None,"(1, -2, -2, -2, 2)",Fuga,B,T,-,-,-,33/3.0,35/4.0,-,-,-
15,None,"(3, 2, 2, -3, 2)",Fuga,B,T,-,-,-,37/2.0,39/4.0,-,-,-
16,None,"(2, 2, -3, 2, 2)",Fuga,B,T,-,-,-,37/3.0,40/1.0,-,-,-
17,None,"(2, -2, 1, -2, 1)",Fuga,A,S,-,-,-,40/4.5,41/2.0,-,-,-
18,None,"(-2, 1, -2, 2, 2)",Fuga,A,S,-,-,-,41/2.0,41/4.0,-,-,-
19,None,"(1, -2, 2, 2, -2)",Fuga,A,S,-,-,-,41/3.5,42/1.5,-,-,-
20,None,"(3, -2, -2, -2, 2)",Fuga,A,S,-,-,-,42/3.0,44/3.0,-,-,-
21,None,"(-2, -2, -2, 2, 2)",Fuga,A,A,-,-,-,44/1.0,45/4.0,-,-,-
22,None,"(-2, -2, 2, 2, 2)",Fuga,A,A,-,-,-,44/1.5,46/2.0,-,-,-
23,None,"(-2, 2, 2, 2, 2)",PEN,A,A,S,-,-,44/2.0,46/3.0,48/4.0,-,-
24,None,"(2, 2, 2, 2, 2)",Fuga,T,T,T,-,-,47/4.0,48/1.0,48/1.5,-,-
25,None,"(-2, -2, 1, -2, 2)",Fuga,S,S,-,-,-,47/4.0,53/4.5,-,-,-
26,None,"(4, 1, -2, -2, -2)",Fuga,T,A,-,-,-,48/4.5,52/1.0,-,-,-
27,None,"(-2, -2, -2, -2, 4)",Fuga,S,T,-,-,-,51/4.0,52/4.0,-,-,-
28,None,"(2, 2, 1, -2, -2)",Fuga,T,S,A,-,-,52/1.0,56/3.0,57/1.0,-,-
29,None,"(-2, -2, -2, 4, -2)",Fuga,S,T,-,-,-,52/2.0,53/1.0,-,-,-
30,None,"(-2, -2, 4, -2, -2)",Fuga,S,T,-,-,-,52/4.0,53/2.5,-,-,-
31,None,"(2, 2, -2, -2, -2)",Fuga,T,A,B,T,-,59/2.0,62/3.0,63/3.0,64/3.0,-
32,None,"(2, -2, -2, -2, -2)",Fuga,T,A,-,-,-,59/4.0,62/4.0,-,-,-
33,None,"(-2, -2, -2, -2, -2)",Fuga,T,A,A,A,B,60/1.0,63/1.0,63/4.0,63/4.5,68/4.0
34,None,"(3, 2, 2, -3, 3)",Fuga,A,B,T,S,-,61/2.0,62/2.0,63/2.0,65/2.0,-
35,None,"(2, 2, -3, 3, 2)",Fuga,A,B,T,S,-,61/3.0,62/3.0,63/3.0,65/3.0,-
36,None,"(2, -3, 3, 2, 2)",Fuga,A,B,T,S,-,61/4.0,62/4.0,63/4.0,65/4.0,-
37,None,"(-3, 3, 2, 2, -2)",PEN,A,B,T,-,-,62/1.0,63/1.0,64/1.0,-,-
38,None,"(3, 2, 2, -2, -2)",PEN,A,B,T,-,-,62/2.0,63/2.0,64/2.0,-,-
39,None,"(1, -2, 2, 2, 2)",Fuga,T,A,A,S,-,76/3.0,77/1.0,79/3.0,82/1.0,-
40,None,"(-2, 2, 2, 2, -2)",ID,T,A,S,A,-,77/1.0,77/3.0,79/2.0,79/4.0,-
41,None,"(1, -2, -2, 2, -2)",Fuga,T,A,-,-,-,78/3.5,83/4.0,-,-,-
42,None,"(2, 1, -2, 2, 2)",Fuga,A,S,-,-,-,79/2.0,81/4.0,-,-,-
43,None,"(-3, 2, -3, 2, -3)",PEN,A,B,-,-,-,87/2.0,87/4.0,-,-,-
44,None,"(2, -3, 2, -3, 2)",Fuga,A,B,-,-,-,87/3.0,88/2.0,-,-,-
45,None,"(2, -3, 2, -2, -2)",Fuga,T,S,T,-,-,88/1.0,88/3.0,93/2.0,-,-
46,None,"(-3, 2, -2, -2, -2)",Fuga,S,T,-,-,-,88/4.0,93/3.0,-,-,-
47,None,"(1, 1, -2, 2, 2)",ID,B,T,A,S,-,91/2.0,91/4.0,94/2.0,94/4.0,-
48,None,"(1, -2, 2, 2, 2)",ID,B,T,A,S,-,91/3.0,92/1.0,94/3.0,95/1.0,-
49,None,"(-2, 2, 2, 2, -3)",ID,B,T,A,S,-,92/1.0,92/3.0,95/1.0,95/3.0,-
50,None,"(2, 2, 2, -3, 2)",Fuga,B,T,A,-,-,92/2.0,92/4.0,95/2.0,-,-
51,None,"(2, 2, -3, 2, 2)",Fuga,B,A,-,-,-,92/3.0,95/3.0,-,-,-
52,None,"(2, 2, -3, 2, -2)",Fuga,T,S,-,-,-,93/1.0,98/2.0,-,-,-
53,None,"(2, 2, -2, -2, -2)",Fuga,B,A,-,-,-,93/3.0,96/2.0,-,-,-
54,None,"(-2, -2, -2, -2, 2)",Fuga,S,T,-,-,-,96/4.0,99/3.0,-,-,-
55,None,"(-2, -2, -2, 2, -2)",Fuga,S,T,-,-,-,97/1.5,100/1.0,-,-,-
56,None,"(2, 2, -2, 2, -4)",Fuga,S,T,-,-,-,102/3.0,108/3.0,-,-,-
57,None,"(-3, 1, 5, 2, -4)",Fuga,B,T,B,-,-,118/3.0,121/3.0,126/2.0,-,-
58,None,"(2, -4, 2, -3, 2)",Fuga,T,B,-,-,-,123/1.0,128/3.0,-,-,-
59,None,"(-3, 2, -3, 2, -2)",PEN,-,-,S,-,-,-,-,88/2.0,-,-
